Country,Year,bank_capital_to_assets_ratio_percent,bank_nonperforming_loans_to_total_gross_loans_percent,GNI.2010,Gov.cons.growth,Gov.cons.share,GNI.pc.growth,Gross.capital.formation.growth,Gross.capital.formation.share,Gross.domestic.savings.share,Gross.fixed.capital.growth,Gross.fixed.capital.share,Gross.national.expenditure.share,Gross.savings.share,Gross.savings.gni,Net.lending.borrowing.share
FRA,2015,4.67838137015214,3.52308121172511,105.579017755019,1.00645911990415,23.7757617692292,1.506372973264931,1.666015626174342,21.71654186133053,21.59884411821996,0.6187879604303816,20.55986967575566,100.1176977431106,21.53109817904445,21.10401680619947,-3.872305716503522
FRA,2016,5.15137252858059,3.49852745916487,105.772580900596,1.407601069927395,23.75694231862509,0.8946316945557697,0.4405061414579592,21.59786061523263,21.25152431702353,2.758918618657205,20.92126010924182,100.3463362982091,21.16072499695191,20.74217132076987,-3.866047930764284
FRA,2017,5.37401395271466,2.85084082112563,106.864453008147,1.357944782831666,23.70138420255354,1.390214577438414,4.233492230200312,22.18139919591758,21.40921912980452,3.698314035729425,21.42043360756441,100.7721800661131,21.6185171335885,21.18888223906851,-3.424024422252578
FRA,2018,5.41296527913485,2.74917800998469,108.842316422953,0.7993196158559925,23.35007583545091,1.135104978464938,3.141427014438264,22.61157389426376,21.64527689746989,3.502211293487179,21.87539006729664,100.9662969967939,21.89000567393865,21.40627119755104,-2.394204408764543
FRA,2019,5.52208226708401,2.51442386618475,110.04856675289,1.007808120606327,23.03484226752429,2.685160287656089,3.715676718379981,23.02507336136055,22.37519852341503,4.110081962253602,22.41609553924444,100.6498748379455,23.48998984515641,22.8089301490653,-2.289348915560963
FRA,2020,5.85566091396961,2.38440087259746,110.572946910908,-4.086773497629167,24.83983573657013,-8.224551546164179,-6.940211742195217,22.80441821384354,21.07997312830974,-5.829108954307543,22.43623085118158,101.7244450855338,20.78358563969568,20.37353320594505,-8.766259171361893
FRA,2021,5.72243967873599,2.1692050101449,112.388921149413,6.583914483587037,24.35159841765625,7.363746187796167,7.258146584614124,23.44748457828056,22.23510181382952,9.734360658738183,23.48322873433033,101.212382764451,23.4519466335002,22.74068984573148,-6.549078959020132
FRA,2022,5.3461127232552,2.0781054407903,118.258283622798,2.503358977651231,23.86136358073159,0.5928774229329719,2.246610033489645,24.18912532221651,21.40631949190999,-0.04777794032750649,23.65043015551124,102.7828058303065,22.28588147704236,21.68105147258692,-4.696861342868494
FRA,2023,5.46519281476646,2.06122418440949,124.027345193475,0.469470433925224,23.12356060572241,-0.1630351474246368,-1.31348052244627,23.15336445092863,21.15387081868385,0.3896806410177192,23.09308713061319,101.9994936322448,21.16975842981241,20.78130052836865,-5.13437488064467
FRA,2024,,,126.506713121822,,,,-3.294330008709025,21.93248483490072,21.19768257251511,-1.28812557849362,22.3209271626821,100.7348022623856,21.69399419481315,21.24469855079684,
GBR,2015,5.43344268541922,1.01449977058357,110.958017384871,1.279122897783978,19.54853006938346,1.891865408451608,3.291578602171953,17.86938460727668,16.35773625310535,7.146807129674599,17.37445935220885,101.5116483541713,12.92407201724243,13.21202782206063,-5.620806375952216
GBR,2016,5.45988733459644,1.68729249856196,112.076937303495,0.7052130323138499,19.21828438301002,0.9205735983923518,-1.003097383758188,17.93472230241835,16.03900293475996,5.14187504587656,17.90489771018429,101.8957193676584,12.48456824878759,12.78455165573381,-3.813531025860532
