Country,Year,Adjustment.for.the.change.in.net.equity.of.households.in.pension.fund.reserves,Compensation.of.employees.received.by.households,"Compensation.of.employees,.total.economy",Consumer.price.index,Consumer.price.index.with.fixed.interest.rates,"Consumer.price.index,.harmonised",Core.inflation.index,"Core.inflation.index,.harmonised",Current.disbursements.of.households.and.non-profit.institutions.serving.households,Direct.taxes.on.households,Employees.and.self-employed.contributions.to.social.security,"Exports.of.goods.and.services,.deflator.(national.accounts.basis)","Final.domestic.expenditure,.deflator","General.government.fixed.capital.formation,.deflator,.based.on.appropriation.account","Government.final.consumption.expenditure,.deflator","Gross.capital.formation,.deflator",Gross.current.receipts.of.households.and.non-profit.institutions.serving.households,Gross.disposable.income.of.household.and.non-profit.institutions.serving.households,"Gross.domestic.product,.market.prices,.deflator","Gross.national.product,.market.prices,.deflator",Gross.saving.of.households.and.non-profit.institutions.serving.households,Gross.saving.ratio.of.households.and.non-profit.institutions.serving.households,Gross.self-employment.income.received.by.households,"Gross.total.fixed.capital.formation,.deflator","Imports.of.goods.and.services,.deflator.(national.accounts.basis)","Mainland.gross.domestic.product,.market.prices,.deflator",Net.current.receipts.of.households.and.non-profit.institutions.serving.households,Net.disposable.income.of.households.and.non-profit.institutions.serving.households,Net.saving.of.households.and.non-profit.institutions.serving.households,Net.saving.ratio.of.households.and.non-profit.institutions.serving.households,Net.self-employment.income.received.by.households,"Offshore.gross.domestic.product,.market.prices,.deflator",Other.current.income.payable.by.households.and.non-profit.institutions.serving.households,Other.current.income.received.by.households.and.non-profit.institutions.serving.households,"Private.final.consumption.expenditure,.deflator","Private.final.consumption.expenditure,.nominal.value,.appropriation.account","Purchasing.power.parity,.national.currency.per.USD",Real.gross.disposable.income.of.households.and.non-profit.institutions.serving.households,Real.net.disposable.income.of.households.and.non-profit.institutions.serving.households,"Total.domestic.expenditure,.deflator",Total.employers.social.contributions,"Wages,.total.economy"
BEL,2015,3111900000.0,214688700000.0,208238000000.0,,,0.923978994702476,,0.929317648516576,148551600000.0,54050600000.0,26458700000.0,0.970061088257679,0.921062019052806,0.933397022158928,0.906193606035622,0.925850347934746,,,0.914252900369848,,,,,0.930296402020624,0.978559162281942,,374169800000.0,225618200000.0,14800000000.0002,6.47050825405148,38547200000.0,,68042300000.0,50259500000.0,0.924130253104615,213930100000.0,0.799998376671996,,244141125390.102,0.920067968380533,56344600000.0,151893400000.0
BEL,2016,3218400000.0,218941900000.0,212286100000.0,,,0.940333559196745,,0.94560394030683,147395100000.0,53641300000.0,27193200000.0,0.963400193449544,0.932901506295944,0.93818625814189,0.921305846043761,0.926619034459568,,,0.931581043772669,,,,,0.934385584596569,0.963502804547854,,379876900000.0,232481800000.0,15102800000.0,6.40763138936668,39355900000.0,,66560600000.0,48722200000.0,0.93787032624898,220597400000.0,0.781011116413594,,247882669376.92,0.931331779087491,54963900000.0,157322200000.0
BEL,2017,2928200000.0,226542100000.0,219529600000.0,,,0.961246458051001,,0.959574682289531,152065300000.0,55522000000.0,27745400000.0,0.990279166181563,0.952488631923746,0.9591381741276,0.941665816863224,0.954717488701937,,,0.950055397584532,,,,,0.95455956798067,0.994231533370786,,392980700000.0,240915400000.0,14766800000.0,6.05584891299176,40227400000.0,,68797900000.0,51055000000.0,0.956860433325096,229076800000.0,0.775634363502101,,251776948455.082,0.952906966017051,56641700000.0,162887900000.0
BEL,2018,3158100000.0,233963500000.0,226729600000.0,,,0.983460638166808,,0.971849419563687,156183300000.0,57000200000.0,28699000000.0,1.011056317425,0.972052887084261,0.981781603667725,0.963620256420941,0.983804270316516,,,0.966370749338723,,,,,0.971391962042088,1.02286119624211,,405383800000.0,249200500000.0,14153099999.9998,5.60832878293025,41788000000.0,,70484100000.0,52209200000.0,0.976597364127998,238205500000.0,0.766406544709473,,255172202131.132,0.975425472807254,57663000000.0,169066600000.0
BEL,2019,3310800000.0,242567600000.0,234996000000.0,,,0.995741961315758,,0.986633314488837,158435700000.0,56795700000.0,29547700000.0,1.0185354132681,0.987034615150132,0.997482161946906,0.977130397572413,0.990567088298116,,,0.984289795018409,,,,,0.989202449181861,1.02316931211457,,418618900000.0,260183200000.0,17827200000.0,6.76569485453179,42617200000.0,,72092300000.0,53375000000.0,0.990922127826157,245666800000.0,0.735832192659724,,262566747369.724,0.987602374757608,59643500000.0,175352500000.0
BEL,2020,2774400000.0,238776900000.0,230892500000.0,,,1.0,,1.0,157952800000.0,56782600000.0,29218000000.0,0.999999727725347,1.0,1.0,1.0,1.00000179182248,,,1.0000004312661,,,,,0.999999999999999,1.0,,422893700000.0,264940900000.0,40242799999.9999,15.031938779741,40919900000.0,,71952200000.0,51654200000.0,1.00000042911291,227472500000.0,0.716165161920047,,264940786310.489,1.0,59262300000.0,171630200000.0
BEL,2021,2388500000.0,253643400000.0,245676800000.0,,,1.03222403597388,,1.01258450982366,165663300000.0,59910600000.0,30308700000.0,1.07708089125144,1.0304973014806,1.05000787947156,1.02739202870691,1.07372939843651,,,1.02742594444762,,,,,1.04068545872842,1.09153315490527,,444631300000.0,278968000000.0,33528499999.9997,11.9167319752697,43862500000.0,,75444000000.0,56557500000.0,1.02678882064321,247828000000.0,0.705864572462767,,271689751964.036,1.03865589444017,61906900000.0,183769900000.0
BEL,2022,2835900000.0,277368900000.0,269152000000.0,,,1.13889829986449,,1.05298659459293,188935500000.0,69053600000.0,33105400000.0,1.20527110627993,1.12232986129249,1.16895131537613,1.08752569771627,1.23765407437967,,,1.09774299295804,,,,,1.13651137228376,1.26589000443323,,493205800000.0,304270300000.0,26234700000.0003,8.54254977594078,49287200000.0,,86776500000.0,71616400000.0,1.13151254506151,280871500000.0,0.694642760138585,,268905812249.267,1.1466971188506,67310700000.0,201841300000.0
BEL,2023,2975400000.0,301117500000.0,292661100000.0,,,1.1648854256481,,1.11610275156188,209970500000.0,72702500000.0,35706600000.0,1.2132638088124,1.18098244196094,1.23000195854727,1.13172610293381,1.21349878968667,,,1.14723084961808,,,,,1.19054066413625,1.25962983360704,,540480800000.0,330510300000.0,33994733111.0483,10.1937603654514,52832500000.0,,101561400000.0,83883200000.0,1.19933126378825,299490966888.952,0.701943491222467,,275578824616.01,1.18576184418075,72749800000.0,219911300000.0
BEL,2024,2980837365.85871,315607321788.844,302779125212.576,,,1.21534924497795,,1.15414282692811,223629514110.6,75248742929.4904,38377602407.0453,1.23158324243704,1.1987458419966,1.23097026020328,1.14882212370495,1.20419164780819,,,1.17046522575079,,,,,1.20714837477459,1.26234819643502,,567604093625.916,343974579515.317,38808770126.5729,11.1855207436822,55266553870.4845,,110003168774.064,90463327607.0956,1.21794696774091,308146646754.602,0.703876289823765,,282421639550.803,1.1973539949476,75769771223.8167,227009353988.759
