Country,Year,Compensation.rate.total.economy,Dependent.employment.total.economy,Employment.country.specific,General.government.employment,Hours.worked.per.worker.total.economy,Labour.force,Labour.force.participation.rate.as.a.percentage.of.population.aged.15-74,Labour.productivity.total.economy,Total.employment.(labour.force.survey.basis),Total.employment.(national.accounts.basis),Total.population,Total.self-employed,Unemployment.rate,Unemployment.level,Unit.labour.cost.in.total.economy,Wage.rate.total.economy,Working-age.population.age.15-74
DEU,2016,42143.7162291018,39327500.0,,,1393.95992541691,42172500.0,67.5445722787307,0.989699317873462,40515000.0,43688000.0000001,82348750.0,4360500.00000008,3.93028632402625,1657499.99999997,0.879741846349344,34826.3683173352,62436549.0478941
DEU,2017,43311.6448844637,39998250.0,,,1391.49458171599,42443333.3333333,68.1370404014189,1.00558063830537,40937500.0,44291250.0,82657000.0,4292999.99999996,3.54786774522885,1505833.3333333,0.89269344191203,35788.140731157,62291131.3483606
DEU,2018,44675.7316900672,40650750.0,,,1384.28117674584,42573333.3333333,68.3057224673512,1.00362516982905,41205000.0,44879999.9999999,82905500.0,4229249.99999994,3.21406201064828,1368333.33333333,0.925352835626412,36977.4481405632,62327623.2144131
DEU,2019,46153.5975113315,41146500.0,,,1375.43345919568,42885000.0,68.8234354812375,1.00469908566416,41601666.6666667,45292750.0000001,83093000.0,4146250.00000004,2.99249931988651,1283333.33333333,0.957778924912575,38134.8109802778,62311623.5046
DEU,2020,46277.1907106295,40928500.0,,,1309.75091986128,42766666.6666667,68.7382152945265,0.966837467114521,41197500.0,44967750.0000001,83161000.0,4039250.00000008,3.66913484021818,1569166.66666664,0.999838145139907,38052.1397070501,62216725.4174726
DEU,2021,47761.4642068575,41100750.0,,,1336.87324972584,42895000.0,68.8496960110108,1.0,41355833.3333333,45052499.9999999,83195750.0,3951749.99999993,3.58821929517816,1539166.66666667,1.0,39325.0488129779,62302381.1073036
DEU,2022,49823.1841218743,41780750.0,,,1337.73670736213,43775833.3333333,69.8403541066056,1.00062524739705,42440000.0,45675250.0,83797750.0,3894499.99999995,3.05153147665194,1335833.33333336,1.04531416900287,41031.8148908289,62679855.9275818
DEU,2023,52736.7272641028,42163500.0,,,1337.2466189378,44252500.0,70.0131790505684,0.992713446526077,42915833.3333334,46010749.9999999,84514250.0,3847249.99999993,3.0205449786264,1336666.66666665,1.11726997638781,43675.3353018606,63205957.2213365
DEU,2024,55232.3274347184,42380261.1010688,,,1338.48903492274,44514491.0661333,70.2395599146005,0.988327998755778,42978159.3788366,46203968.357102,84808487.6001396,3823707.25603324,3.45130686772149,1536331.68729673,1.17643547459905,45793.3673816988,63375241.9865037
DNK,2015,396010.362996141,2643540.5,,824034.0,1407.14950833497,2805000.0,65.4129533193261,0.926166777851631,2624250.0,2827152.75,5682449.0,183612.249999996,6.44385026737968,180750.0,0.950762302745888,366259.254208513,4288141.50357475
DNK,2016,401458.817077296,2693143.0,,818539.0,1412.05417179595,2843000.0,65.7283957450446,0.939263908464177,2668250.0,2873399.25,5728752.0,180256.249999998,6.14667604642983,174750.0,0.952652941805029,369930.256581251,4325375.6124336
DNK,2017,408074.5279904,2735656.75,,818189.0,1404.21636694263,2871000.0,66.0196456174381,0.953621856685016,2699250.0,2916639.25,5765103.0,180982.499999999,5.98223615464995,171750.0,0.954465172578501,376676.50117289,4348705.56051829
DNK,2018,415320.993663686,2780125.75,,824077.0,1380.87039781904,2892500.0,66.3170374893318,0.95654522460814,2740250.0,2961809.75,5793868.0,181683.999999997,5.26361279170268,152250.0,0.969178040368091,383753.194617186,4361624.26656243
DNK,2019,422773.843040959,2823004.0,,829715.25,1371.38568559442,2931000.0,67.0863686979895,0.95919086954629,2780500.0,3004189.0,5816940.0,181185.000000001,5.13476629136813,150500.0,0.98492967508011,389659.968955056,4368994.85973794
DNK,2020,433445.079212971,2792487.75,,832946.0,1341.23635053097,2923000.0,67.0034142942231,0.952687523013359,2754750.0,2970853.75,5829703.0,178366.000000003,5.75607252822443,168250.0,1.01697788821454,397991.094499878,4362464.25766398
DNK,2021,446684.618363485,2861178.0,,853237.0,1389.83606181097,2949000.0,67.5939404834336,1.0,2797250.0,3039231.5,5854420.0,178053.499999999,5.14581213970838,151750.0,1.0,410136.117011944,4362817.10891343
