Country,Year,Central.bank.key.interest.rate,Long-term.interest.rate.on.government.bonds,Short-term.interest.rate
CRI,2017,3.875,,3.83896771002713
CRI,2018,5.0625,,5.0795307477125
CRI,2019,4.0,,4.44525787300107
CRI,2020,0.875,,1.16347836677197
CRI,2021,0.875,,0.768218638962286
CRI,2022,6.375,,5.38572458383677
CRI,2023,7.0,,7.32470224057425
CRI,2024,4.5625,,4.87811133258927
CZE,2015,0.05,0.575,0.308311688311689
CZE,2016,0.05,0.4275,0.288809523809524
CZE,2017,0.2125,0.980833333333332,0.408022547585477
CZE,2018,1.25,1.98166666666667,1.27084249590204
CZE,2019,1.9375,1.54833333333333,2.11740068922306
CZE,2020,0.4375,1.12833333333334,0.858333371307056
CZE,2021,1.3125,1.90416666666667,1.12619967532468
CZE,2022,6.375,4.3325,6.28055993285255
CZE,2023,6.9375,4.43833333333333,7.12468769764222
CZE,2024,4.6875,3.93583333333333,5.02577072415888
DEU,2015,-0.225,0.49519367547657,-0.01937570144069
DEU,2016,-0.4,0.0914991922328881,-0.263695659232072
DEU,2017,-0.4,0.316336113807796,-0.329056115557889
DEU,2018,-0.4,0.396363981890517,-0.322092958103428
DEU,2019,-0.45,-0.253634457795785,-0.356319350335655
DEU,2020,-0.5,-0.511024005583788,-0.425159624976473
DEU,2021,-0.5,-0.373821169772257,-0.548756292741075
DEU,2022,0.4375,1.14258298496571,0.341555418515784
DEU,2023,3.625,2.43459870594911,3.43080056073154
DEU,2024,3.5625,2.33414150825021,3.58563521080369
DNK,2015,0.0,0.6905,-0.123318837525302
DNK,2016,0.0,0.320333333333334,-0.14424612234638
DNK,2017,0.0,0.476416666666667,-0.263757906510153
DNK,2018,0.0,0.454833333333333,-0.299244289246279
DNK,2019,0.0,-0.183416666666667,-0.371996933897105
DNK,2020,0.0,-0.35925,-0.240562448377752
DNK,2021,-0.525,-0.0608333333333333,-0.230067431692703
DNK,2022,0.3,1.47775,0.615516009597445
DNK,2023,3.225,2.67775,3.50373965494731
DNK,2024,3.1625,2.3635,3.50804045298936
ESP,2015,-0.225,1.735,-0.01937570144069
ESP,2016,-0.4,1.3925,-0.263695659232072
ESP,2017,-0.4,1.5575,-0.329056115557889
ESP,2018,-0.4,1.41916666666667,-0.322092958103428
ESP,2019,-0.45,0.660833333333335,-0.356319350335655
ESP,2020,-0.5,0.379166666666666,-0.425159624976473
ESP,2021,-0.5,0.349999999999999,-0.548756292741075
ESP,2022,0.4375,2.1975,0.341555418515784
ESP,2023,3.625,3.48583333333334,3.43080056073154
ESP,2024,3.5625,3.19383432147563,3.58563521080369
EST,2015,-0.225,,-0.01937570144069
EST,2016,-0.4,,-0.263695659232072
EST,2017,-0.4,,-0.329056115557889
EST,2018,-0.4,,-0.322092958103428
EST,2019,-0.45,,-0.356319350335655
EST,2020,-0.5,,-0.425159624976473
EST,2021,-0.5,,-0.548756292741075
EST,2022,0.4375,,0.341555418515784
EST,2023,3.625,,3.43080056073154
EST,2024,3.5625,,3.58563521080369
FIN,2015,-0.225,0.723333333333334,-0.01937570144069
FIN,2016,-0.4,0.365,-0.263695659232072
FIN,2017,-0.4,0.546666666666667,-0.329056115557889
FIN,2018,-0.4,0.661666666666667,-0.322092958103428
FIN,2019,-0.45,0.07,-0.356319350335655
FIN,2020,-0.5,-0.219166666666667,-0.425159624976473
FIN,2021,-0.5,-0.09507603675,-0.548756292741075
FIN,2022,0.4375,1.65530769533334,0.341555418515784
FIN,2023,3.625,3.0375,3.43080056073154
FIN,2024,3.5625,2.88040070511849,3.58563521080369
FRA,2015,-0.225,0.840825,-0.01937570144069
FRA,2016,-0.4,0.467558333333334,-0.263695659232072
FRA,2017,-0.4,0.809316666666667,-0.329056115557889
FRA,2018,-0.4,0.783808333333334,-0.322092958103428
FRA,2019,-0.45,0.130283333333333,-0.356319350335655
FRA,2020,-0.5,-0.144575,-0.425159624976473
FRA,2021,-0.5,0.0079416666666662,-0.548756292741075
FRA,2022,0.4375,1.70080833333334,0.341555418515784
FRA,2023,3.625,2.99495833333333,3.43080056073154
FRA,2024,3.5625,2.97438452380953,3.58563521080369
GBR,2015,0.5,1.90103333333334,0.574149166666667
GBR,2016,0.375,1.30520833333334,0.498991666666667
GBR,2017,0.3125,1.23580833333334,0.358951666666667
GBR,2018,0.625,1.46065833333333,0.722835833333334
GBR,2019,0.75,0.935825000000002,0.80785
GBR,2020,0.1,0.374441666666667,0.295590079365079
GBR,2021,0.1375,0.787608333333333,0.0884865208558287
GBR,2022,1.9375,2.44729166666667,1.88435072740729
GBR,2023,4.9375,4.0583,4.84131253470468
GBR,2024,5.0625,4.181725,5.05380129940712
GRC,2015,-0.225,9.645,-0.01937570144069
GRC,2016,-0.4,8.36,-0.263695659232072
GRC,2017,-0.4,5.97833333333333,-0.329056115557889
GRC,2018,-0.4,4.185,-0.322092958103428
GRC,2019,-0.45,2.58583333333334,-0.356319350335655
GRC,2020,-0.5,1.27166666666666,-0.425159624976473
GRC,2021,-0.5,0.884166666666668,-0.548756292741075
GRC,2022,0.4375,3.48666666666667,0.341555418515784
GRC,2023,3.625,4.00166666666667,3.43080056073154
GRC,2024,3.5625,3.3617380952381,3.58563521080369
HUN,2015,1.5375,3.4325,1.16236666666667
HUN,2016,0.975,3.14333333333333,0.733875000000001
HUN,2017,0.9,2.9625,0.0272416666666667
HUN,2018,0.9,3.05833333333333,0.0428166666666668
HUN,2019,0.9,2.465,-0.0010666666666666
HUN,2020,0.7125,2.225,0.459916666666667
HUN,2021,1.3875,3.06083333333333,0.872433333333333
HUN,2022,9.5375,7.57083333333333,7.93190833333333
HUN,2023,12.4375,7.5125,11.462625
HUN,2024,7.0,6.36416666666667,6.22963333333333
IRL,2015,-0.225,1.1825,-0.01937570144069
IRL,2016,-0.4,0.735833333333333,-0.263695659232072
IRL,2017,-0.4,0.801666666666667,-0.329056115557889
IRL,2018,-0.4,0.951841666666667,-0.322092958103428
IRL,2019,-0.45,0.331058333333334,-0.356319350335655
IRL,2020,-0.5,-0.0610416666666667,-0.425159624976473
IRL,2021,-0.5,0.063158333333333,-0.548756292741075
IRL,2022,0.4375,1.74561666666667,0.341555418515784
IRL,2023,3.625,2.86661666666667,3.43080056073154
IRL,2024,3.5625,2.74856765480896,3.58563521080369
ISL,2015,5.375,6.25916666666667,5.89166666666667
ISL,2016,5.4375,5.60333333333333,6.27916666666667
ISL,2017,4.5625,4.85833333333333,5.06333333333333
ISL,2018,4.3125,5.33083333333334,4.7225
ISL,2019,3.6875,3.97416666666667,4.39333333333333
ISL,2020,1.125,2.46666666666667,2.00666666666667
