"Country","Quarter","S_mean_tw","theta_pct","F_CP","F_CP_above","F_CP_below_adj_mid","F_DI","F_H","y_t_pct","debt_dR","excess_mortality","vax_rate"
"CHL","Q4.2020",57.967032967033,0.249689106989446,0.000546613096836702,0.000546613096836702,0,0.131713100911866,0,-5.62018456268174,-0.230217870407692,11.9774736457538,0
"CHL","Q1.2021",56.25,0.705869206904093,0.447970843969765,0.447970843969765,0,8.31513636503026,0,-2.59570093768106,-1.03477286203281,30.6075401699929,18.8
"CHL","Q2.2021",56.7078754578755,0.873855437762231,1.00718778085869,0.941112081373148,0.0660756994855403,0.841438568589875,0,-2.1540344833061,-0.444882528492499,33.1129155770449,55.04
"CHL","Q3.2021",42.7002472527472,0.248269529012193,0.0645824633389745,0.0645824633389745,0,0,0,1.4565983594613,2.15348471559514,10.5974710038424,72.28
"CHL","Q4.2021",21.9873901098901,0.658319511040707,0,0,0,0,0,3.12522914920444,1.22495261977058,14.6263667081109,84.41
"CHL","Q1.2022",19.0608390567766,9.7313066353917,0,0,0,0,0,1.1520882811121,-0.613683946526152,39.2498462431645,88.73
"CHL","Q2.2022",22.6647149725275,4.27350335037006,0,0,0,0,0,0.481067973903417,1.90303073661345,14.1278274058011,89.68
"CHL","Q3.2022",23.8655860805861,2.95228718593256,0,0,0,0,0,-0.187340951424123,-2.48468864620368,11.8633877944514,90.19
"CHL","Q4.2022",4.29526254251701,4.77787025046398,0,0,0,0,0,-0.923556859472747,1.01182893360151,15.2862339516401,90.27
"COL","Q4.2019",0,0,0,0,0,0,0,0.666880658816729,-1.11734872400249,0,0
"COL","Q1.2020",28.422619047619,0,0.0235464760343967,0,0.0235464760343967,0.113321447072231,0.0782196980399913,-2.3518374029484,5.79375390194239,-0.00783511985999432,0
"COL","Q2.2020",85.6570512820513,0.180717027833522,2.2052310851158,0.770723253557873,0.608026522750605,0.32442202819926,0.407547862891884,-17.9932208200171,3.22692484355338,1.54701138435117,0
"COL","Q3.2020",76.7971611721612,0.662566037575626,0.91569415626016,0.188960658547842,0.283052155241102,1.41493306207793,0,-10.4710400791986,1.92625784156437,49.6777993839239,0
"COL","Q4.2020",59.9702380952381,0.670329446405527,0.0260963710171136,0.00780377308731975,0.0124510280391437,0.391766268260292,0.0120669096662993,-4.808703130086,-0.424671409890784,33.9205408528674,0
"COL","Q1.2021",54.0521978021978,0.766657250823792,0.0673429214583745,0,0.0673429214583745,0.359036666572481,0,-2.499829085567,1.13820368543891,39.8996148742115,0.55
"COL","Q2.2021",49.9656593406593,2.38965882524323,0.245919395703239,0.0104546353592721,0.0824126661203884,0,0,-5.2875365297402,1.11438112985958,87.2148207455349,13.29
"COL","Q3.2021",39.6978021978022,0.620993446511646,0.199862488579959,0.199862488579959,0,0,0,-0.986141247880712,-0.184782162368982,38.6513157156673,32.64
"COL","Q4.2021",39.47368246337,0.463931333670045,0.236427811213774,0,0.23413202980042,0.0376743616550347,0,3.08149376863986,1.29225830737015,9.81877049642622,54.6
"COL","Q1.2022",39.6866907051282,5.43693404700851,0,0,0,0,0,2.91621969611246,-2.91950715336521,26.9630567678223,67.14
"COL","Q2.2022",18.3993818681319,1.80085272959439,0,0,0,0,0,3.75413065980179,0.459460872293526,3.38682845381515,69.75
"COL","Q3.2022",10.3714354395604,1.20145908215812,0,0,0,0,0,3.95369517434981,2.20486285593042,7.88737563731644,70.32
"COL","Q4.2022",9.375,1.07201031677221,0,0,0,0,0,2.83025357147451,3.60199162678079,3.75893919421987,71.09
"CRI","Q4.2019",0,0,0,0,0,0,0,-0.996049377327671,2.74661404326201,0,0
"CRI","Q1.2020",42.1428571428571,0.0140860460931939,0.16921077529465,0,0.16921077529465,0,0,-1.85503907739133,1.15658526324357,-0.338469425150057,0
"CRI","Q2.2020",70.0206043956044,0,3.91539574196556,0.022556440694497,2.28107457594057,1.3288283820472,0,-10.3740653591488,3.23074551813307,-10.7517646019773,0
"CRI","Q3.2020",61.8475274725275,0.225581329302788,0.365743855594697,0.365743855594697,0,0,0,-10.1024500577899,2.64364225106771,9.42721887766682,0
