Country,Year,Balance.of.primary.income.as.a.percent.of.GDP,Balance.of.secondary.income.as.a.percent.of.GDP,Competitors.price.of.goods.and.services.exports,Contribution.to.world.trade.growth.goods.and.services.in.USD.OECD.reference.year.prices,Current.account.balance.as.a.percentage.of.GDP,Export.market.for.goods.and.services.volume.in.USD,Goods.and.services.trade.volume.in.USD,Indicator.of.competitiveness.based.on.relative.consumer.prices,Indicator.of.competitiveness.based.on.relative.unit.labour.costs.in.total.economy,Net.exports.of.goods.and.services.as.a.percent.of.GDP,Price.of.commodity.exports,Price.of.commodity.imports,Share.of.country.s.trade.in.world.trade.volume.in.USD.at.OECD.reference.year.prices,Terms.of.trade.goods.and.services,nan
HUN,2022,-2.95392368847962,-0.883595379022173,1.28890874112323,0.0572284894077361,-8.63809911298106,167235108227.364,160933285178.784,95.2932349580143,98.6366674607437,-4.80057863276084,1.44891259386763,1.56930252623533,0.0055694622334654,0.948277431857029,
HUN,2023,-3.14272711854661,-1.11665221644759,1.21844319820535,-0.0062662147152427,0.712869948281682,166154486594.675,159138352647.985,109.04369858094,110.715768833558,4.97224837535919,1.24932641297404,1.31623544840791,0.0054518973773598,1.00870939340125,
HUN,2024,-3.03799664745363,-0.829600901381099,1.26045123743645,-0.0150401162119897,2.72872584771035,167763376587.27,154747440629.451,106.783243011114,114.58984394444,6.59644186590344,1.29720208615662,1.38168817269814,0.0051196326079602,1.01798058844142,
IRL,2015,-22.3055976278947,-1.22581634642595,0.934805426202225,0.4295413086908,6.13716080930811,381227766542.553,351125189613.686,97.4916087725039,113.987339814152,29.6864034943103,0.79071181967696,0.752212472514826,0.0148807854191255,1.04144737987593,
IRL,2016,-18.5214389864133,-1.38268945992627,0.90153574941384,0.16500968437429,-1.24525455163573,391431169313.108,388327753210.894,101.29795516131,123.364752698339,18.560348241682,0.787563418458266,0.708851449887129,0.016089172866257,1.03285918854576,
IRL,2017,-21.5214191251425,-1.00649754272732,0.920281947081128,0.161861274319371,1.14324640397359,410442274942.815,425692552676.282,102.560017308091,120.611763528366,23.9516492719788,0.787285151695746,0.752756252165142,0.0166674556758197,1.00340913848499,
IRL,2018,-24.1217046715927,-1.09165008701297,0.927131252509619,0.0354720273993572,4.29075813741148,426531772505.815,434356096760.579,102.797958592418,118.644795100122,29.6816252038725,0.765624504454446,0.791168754914791,0.0163454047258021,1.0017643196077,
IRL,2019,-24.6174707563533,-0.958685630059366,0.949800024427032,0.407392996271805,-20.7689500580466,433343929870.959,537934976736.896,100.799536735242,117.513756732038,4.45846452068915,0.775956507516627,0.794892805071759,0.019957551036944,0.998897237596212,
IRL,2020,-26.8340894559768,-1.00068345817652,0.916646957642132,0.143850011973324,-7.05701194513627,395657665941.166,575061249595.113,100.99344113936,104.602799684933,21.2363761527836,0.79633450874112,0.752144409402509,0.0230994531053008,1.00471266050029,
IRL,2021,-28.6034503291391,-0.989741853822627,1.0,0.0847225965491097,12.1928342713478,438571528609.096,595180018517.43,100.0,100.0,41.5472914065355,1.00000000000001,1.0,0.0216904618643251,0.989138944856232,
IRL,2022,-31.6001496098549,-0.90372320400745,1.19500978101941,0.333363555619108,8.76884315487064,469813348223.51,682717349865.013,97.4756277405266,95.1255809908479,41.2096980894233,1.28634907382227,1.34603716667454,0.0236214327641763,0.997804847692141,
IRL,2023,-23.8322765184159,-0.950462394905773,1.14303012512839,-0.0735357986580741,8.08284818718319,467312431764.277,662347084551.765,100.493618399555,108.14864656285,33.0453778878407,1.15512654331733,1.19713061397963,0.0226869236063869,0.995367024986032,
IRL,2024,-23.842828099488,-0.904640104619622,1.13692269738133,0.176785180734067,12.8341579824817,478264691694.042,713958931418.022,99.4954665827832,112.292135950683,40.7332707087123,1.16669220140732,1.25262972769601,0.0236150902443409,1.00648095589056,
ISL,2015,-0.173422180850323,-1.7080874778104,0.911813343559189,0.0043752592229068,5.3490155584837,9786343226.66724,10035951713.6705,91.0179232867893,84.6664260713593,7.48523499418923,0.761302590034504,0.691144214431343,0.0004254663418389,0.999999999916221,
ISL,2016,1.9571177380459,-0.494374883417357,0.802826097203936,0.0054174111504905,7.65514877513418,9950620625.11057,11302270043.0616,102.095409830001,97.943121597538,6.63504896175316,0.69858209238065,0.575004108610382,0.0004682693670406,1.02668682292956,
