Country,QGov.Cons,QGross.Cap.form,QM,QPrivate.Consumption,QReal.GDP.Growth,QX,Quarter
AUT,-0.231072351,-0.393766473,0.283088296,0.76671898,-0.045396888,-0.405030007,2024-Q4
BEL,-0.720972064,9.558337514,3.393892976,0.057816955,0.267484256,0.843515308,2015-Q1
BEL,0.98245121,-10.015010158,-1.841428747,0.757701758,0.464991212,0.9386208,2015-Q2
BEL,-0.78615028,2.932255211,0.335507783,0.260197743,0.13664185,-0.454488631,2015-Q3
BEL,0.03469198,0.665486892,2.954358545,0.561308577,0.351601241,2.849145619,2015-Q4
BEL,0.194798008,3.614152572,0.149820359,0.088950252,0.113810895,-0.585156468,2016-Q1
BEL,-0.568160897,-0.850954973,5.073715906,0.317035783,0.591248886,5.050227103,2016-Q2
BEL,0.25367082,7.631745694,3.21300132,0.645347831,0.182004521,0.546926028,2016-Q3
BEL,0.526004728,-6.417645794,0.430030698,0.835293096,0.36803721,1.782236226,2016-Q4
BEL,-0.242151214,2.043199506,1.936623584,0.176077043,0.614751262,2.346752028,2017-Q1
BEL,0.510525443,1.083834767,0.234799682,0.829232642,0.224791182,-0.172483189,2017-Q2
BEL,-0.494006325,-0.560574964,-0.976219361,0.122173007,-0.060147357,-0.471465834,2017-Q3
BEL,0.399597824,0.919971648,2.165817008,0.051594009,0.798698455,2.501477272,2017-Q4
BEL,0.583621904,1.0717041,0.906102464,0.889087519,0.412495646,0.461401129,2018-Q1
BEL,0.510942782,0.241591987,-0.83870506,0.630068702,0.506397402,-1.730018138,2018-Q2
BEL,0.178882438,1.041262589,1.432062229,-0.247353527,0.435062951,0.950961637,2018-Q3
BEL,0.717511853,2.075638706,0.621625666,0.246512056,0.918875904,1.351354209,2018-Q4
BEL,0.441609068,1.52254919,-0.050234062,-0.035152446,0.410832523,0.903463293,2019-Q1
BEL,0.886853657,0.018180446,1.139106945,0.842180992,0.59316201,0.822887821,2019-Q2
BEL,0.10930552,1.232273,-0.90497272,0.94328003,0.789076907,0.152301444,2019-Q3
BEL,0.400940135,0.338790113,0.669354328,0.60882077,0.550532252,1.051790789,2019-Q4
BEL,-0.914842983,-2.115353448,-2.01554433,-5.38259689,-2.599795342,-1.640460642,2020-Q1
