"Country","Quarter","S_mean_tw","y_t_pct","F_CP_above_3","F_CP_loans","F_CP_guar_adj","F_DI","F_H","debt_dR"
"CZE","Q2.2020",47.4358974358974,-13.6965548762379,1.10634324333915,0,14.8960030494102,0.400092682339631,0.784529564065972,5.42798602459422
"CZE","Q3.2020",28.4569597069597,-8.17982561816158,0.095674337081216,0,0,0.252232343214115,0,-1.72111536103556
"CZE","Q4.2020",57.7037545787546,-8.28490024255233,2.47144208014796,0,0,0,0.0382697348324864,-0.211669495352375
"CZE","Q1.2021",74.7367216117216,-9.08831975388655,0.4992460862238,0,0.0747999362634962,0.904557368767861,0.00695813360590662,4.54187346716473
"CZE","Q2.2021",55.6089743589744,-8.57520433594396,0,0,0,0,0,0.0804972880471553
"CZE","Q3.2021",32.9714835164835,-7.81349413969515,0,0,0,0,0,-1.89223726297158
"CZE","Q4.2021",35.3824049908425,-7.98297597540582,0,0,0,0,0,2.84154552495202
"CZE","Q1.2022",28.6920020604396,-7.97701382044682,0,0,0,0,0,-1.00548006076833
"CZE","Q2.2022",4.72142628205128,-8.50734616091279,0,0,0,0,0,1.4982437810001
"CZE","Q3.2022",1.69413919413919,-9.19629013405363,0,0,0,0,0,0.800459567125586
"CZE","Q4.2022",0,-10.3203348010974,0,0,0,0,0,0.811891108065076
"DEU","Q4.2019",0,-1.17541025503752,0,0,0,0,0,-0.963662044375333
"DEU","Q1.2020",30.4613095238095,-3.59152835527002,2.46009770806454,2.89934909612792,16.2943419202389,0.366187790840956,0.536701410533335,0.500492730713404
"DEU","Q2.2020",54.235347985348,-12.5190674324298,1.39879097142691,0.202954436728954,1.00592495666248,1.91415027326365,0,3.45060966728824
"DEU","Q3.2020",40.5563186813187,-5.33144925481839,0.706281439816761,0,0,0.0811817746915817,0.242095649526681,2.12823585161991
"DEU","Q4.2020",55.5517399267399,-4.82075825451719,0.48709064814949,0,0,0,0.22324988040185,-0.877631171864131
"DEU","Q1.2021",72.9510073260073,-5.80751888191634,1.48649628158478,0,0,0.215160696423653,0.107275916556733,0.171686951501776
"DEU","Q2.2021",64.9839743589744,-4.00187968079119,0.0289934909612792,0,0.072483727403198,0,0,1.2912647507155
"DEU","Q3.2021",48.1436074862637,-4.3258434976342,0.510285440918514,0,0,0.0483321494324524,0,-0.19714876956499
"DEU","Q4.2021",25.0929796245421,-4.21890402301414,0.0434902364419188,0,0.0173960945767675,0,0.594366564706223,0.803388179061663
"DEU","Q1.2022",30.7654727564103,-3.9779743541907,0,0,0,0,0,-0.754074789907747
"DEU","Q2.2022",5.50797733516483,-4.23959939220819,0,0,0,0,0,0.269678131258736
"DEU","Q3.2022",0.595927197802198,-4.36527301674535,0,0,0,0,0,0.400764739140307
"DEU","Q4.2022",0,-5.10308160828787,0,0,0,0,0,-0.448621350943952
"DNK","Q4.2019",0,-0.598783690362038,0,0,0,0,0,-0.21759753720054
"DNK","Q1.2020",37.4404761904762,-1.97751297170962,4.4415506196352,0,3.49966537150244,1.676382918695,0.0257506242150056,1.03134914284793
"DNK","Q2.2020",60.782967032967,-8.30605192867991,0.467702193166839,13.2641638154475,0.166727799583879,0.840351746613858,0.608635013849602,5.71685490583477
"DNK","Q3.2020",48.9125457875458,-3.31925007447441,0,0,0,2.24669875701391,0,1.44594214211528
"DNK","Q4.2020",40.2014652014652,-3.82497337986503,0,0,0,0,0.196758964220026,-0.0743247266303868
