Country,Year,GR.real.DI.pc.hh,GR.real.FC.pc.hh,GR.real.GDP.pc,I.CC,I.real.DI.pc.hh,I.real.FC.pc.hh,I.real.GDP.pc,S.CT.hh,S.Debt.hh,S.LUN,S.NFW.hh,S.SR.hh,S.UR
GRC,2015,0.37,1.05,0.43,97.5,70.28,78.43,75.0,97.87,104.76,32.97,114.71,-1.63,24.98
GRC,2016,0.13,0.76,0.39,96.24,70.37,79.02,75.29,97.15,104.48,32.14,113.55,-2.24,23.88
GRC,2017,1.82,2.77,1.67,96.68,71.65,81.21,76.55,95.39,99.37,30.05,127.8,-3.17,21.84
GRC,2018,-1.18,2.47,2.27,98.5,70.8,83.22,78.29,95.26,102.27,27.57,111.23,-7.01,19.74
GRC,2019,7.32,2.72,2.39,101.73,75.99,85.48,80.16,96.08,91.51,25.11,126.4,-2.42,17.88
GRC,2020,-3.09,-6.0,-9.0,100.03,73.64,80.36,72.94,97.24,94.21,29.75,139.61,0.65,17.62
GRC,2021,9.8,5.66,9.25,99.67,80.86,84.91,79.69,96.69,88.8,27.1,138.17,4.39,14.79
GRC,2022,0.93,9.24,6.36,97.65,81.61,92.75,84.75,96.15,77.44,22.26,142.36,-3.47,12.46
GRC,2023,3.63,2.08,2.63,99.02,84.58,94.68,86.99,96.3,70.25,19.39,149.14,-1.93,11.08
GRC,2024,,,,98.28,,,,,,,,,
HUN,2015,4.06,4.3,4.06,101.64,105.39,98.35,108.44,91.24,46.2,12.08,175.54,12.81,6.52
HUN,2016,4.86,5.21,2.8,102.0,110.51,103.48,111.48,90.66,43.57,9.39,183.48,12.54,4.88
HUN,2017,6.34,5.89,4.51,102.43,117.52,109.57,116.51,91.39,40.25,8.0,186.53,12.93,4.05
HUN,2018,8.24,5.25,5.83,102.84,127.2,115.33,123.3,91.8,37.56,6.98,185.95,15.3,3.49
HUN,2019,6.72,5.39,5.29,102.61,135.74,121.55,129.82,91.65,38.07,6.66,185.56,16.17,3.26
HUN,2020,0.25,-0.63,-4.25,100.61,136.09,120.79,124.3,93.89,41.6,9.36,203.16,17.07,4.12
HUN,2021,7.5,5.37,7.62,101.01,146.29,127.28,133.77,95.36,42.04,7.8,203.89,18.67,4.05
HUN,2022,4.06,6.79,4.55,98.9,152.23,135.92,139.85,93.85,37.64,6.35,187.9,16.47,3.67
HUN,2023,1.64,-1.34,-0.83,98.85,154.73,134.1,138.69,94.1,33.66,6.66,184.35,18.96,4.08
HUN,2024,,,,100.02,,,,,,,,,
IRL,2015,3.91,2.31,23.47,102.55,97.75,91.93,121.76,88.49,167.4,18.2,183.66,12.14,9.93
IRL,2016,3.17,3.02,0.02,102.72,100.85,94.71,121.78,88.04,152.3,15.41,195.02,11.88,8.41
IRL,2017,3.85,1.62,8.48,103.03,104.73,96.25,132.11,87.22,159.58,14.06,184.68,14.21,6.75
IRL,2018,1.37,3.4,6.02,103.17,106.17,99.52,140.06,86.15,145.83,13.38,186.5,12.69,5.8
IRL,2019,3.67,1.14,3.41,101.26,110.06,100.65,144.84,86.12,127.55,12.06,211.49,14.02,5.01
IRL,2020,3.23,-11.52,5.73,99.43,113.62,89.05,153.14,90.49,106.99,16.64,253.96,26.22,5.86
IRL,2021,1.15,7.67,14.94,101.79,114.93,95.88,176.02,85.44,104.75,14.62,269.0,22.5,6.26
IRL,2022,-0.74,8.46,6.37,97.41,114.07,103.99,187.23,83.28,102.68,9.22,223.42,15.11,4.47
IRL,2023,0.36,2.34,-7.24,,114.49,106.42,173.67,83.77,95.2,9.57,226.51,13.61,4.31
IRL,2024,,,,,,,,,,,,,
ISL,2015,,3.39,3.34,,,86.83,98.88,,,11.69,,,4.51
ISL,2016,,4.99,4.57,,,91.17,103.4,,,9.64,,,3.34
