Country,Quarter,ab_us,health_us,nhealth_us,acc_us,of_us,be_us,gu_us,qf_us,ab_per,ab_ppp,health_per,health_ppp,nhealth_per,nhealth_ppp,acc_per,acc_ppp,of_per,of_ppp,be_per,be_ppp,gu_per,gu_ppp,qf_per,qf_ppp,real_gdp_per,real_gdp_ppp
IRL,Q2.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.89075855828,371.46659669328
ISR,Q2.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.39670930134,358.46025273359
LVA,Q2.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.42258974,30.16007752305
LTU,Q2.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1360733484,48.21676850514
LUX,Q2.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.34348446884,66.55749589674
NLD,Q2.2020,11.987077390271075,0.7649824492987058,11.222094940972369,-10.029373746344874,33.44066135505772,0.0,33.44066135505772,0.0,1.4266077091702378,1.285559586199561,0.0910421968606966,0.0820408919499044,1.335565512309541,1.2035186942496567,-1.1936172128410387,-1.0756047653163852,3.9798446056247383,3.5863589909529647,0.0,0.0,3.9798446056247383,3.5863589909529647,0.0,0.0,932.44043441875,840.25042856688
NZL,Q2.2020,28.122546463795103,0.0,28.122546463795096,0.0,1.1458115023238653,1.1458115023238649,0.0,0.0,13.857629306420865,14.49811558726505,0.0,0.0,13.857629306420863,14.498115587265051,0.0,0.0,0.5646085810429331,0.5907042459080154,0.5646085810429333,0.5907042459080154,0.0,0.0,0.0,0.0,193.97380504055,202.93908750153
NOR,Q2.2020,-8.1,0.0,-8.1,0.0,7.149251514959451,-0.3586716272384596,7.507923142197911,0.0,-1.9744090578931335,-2.4511712488266704,0.0,0.0,-1.9744090578931335,-2.4511712488266704,0.0,0.0,1.7426601170731044,2.163461699271496,-0.0874277172381337,-0.10853896055022094,1.8300878343112383,2.2720006598217175,0.0,0.0,330.45426768437,410.24933347112
PRT,Q2.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.21592570296,222.36238134762
SVK,Q2.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.71174374815,99.48906117369
SVN,Q2.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.03736607555,50.41797772839
SWE,Q2.2020,14.100437358322282,0.8349841230760352,13.265453235246245,34.112156247618515,-1.5797136210380351,0.0,-1.5797136210380351,0.0,2.5645492128637093,2.7063945913817236,0.15186464229242372,0.16026428522437489,2.412684570571286,2.546130306157349,6.204226239995361,6.547382384166537,-0.2873140187380123,-0.3032053752138424,0.0,0.0,-0.2873140187380123,-0.3032053752138424,0.0,0.0,521.00449074292,549.82128194674
CHE,Q2.2020,30.27282054763505,2.6975353066185432,27.575285241016505,0.0,42.74144923000296,-0.10838709,42.84983632000295,0.0,4.051990917785762,5.123915377152345,0.3610627739699882,0.4565792809508762,3.6909281438157735,4.667336096201469,0.0,0.0,5.720906111819266,7.234329837445465,-0.014507518504731386,-0.018345376053146827,5.735413630323998,7.252675213498612,0.0,0.0,590.81421763174,747.10978286639
CHL,Q2.2020,13.597478788559124,0.7213831286474848,12.87609565991164,-0.9036361554234271,3.1944951681043254,0.18207469297122714,3.0124204751330983,0.0,5.190680620437495,3.0813115073237958,0.27537968501422866,0.16347193255862988,4.915300935423266,2.917839574765166,-0.34495267489070014,-0.2047721145542667,1.2194616677844754,0.7239014581035558,0.0695049130043911,0.041259769944758884,1.1499567547800842,0.6826416881587969,0.0,0.0,441.28867711817,261.95945739796
COL,Q2.2020,3.824337949750285,1.913613905748511,1.9107240440017739,0.10508588169953384,0.8864937144543739,0.8864937144543739,0.0,0.0,1.1898790407164512,0.5538752987006552,0.5953890865273498,0.277146917341181,0.5944899541891014,0.27672838135947414,0.03269572139084843,0.015219490243886932,0.275817750527254,0.128390057924073,0.275817750527254,0.128390057924073,0.0,0.0,0.0,0.0,690.46912883132,321.40560669491
CRI,Q2.2020,0.07050000000000001,0.0,0.07050000000000001,0.4068498516743531,0.0,0.0,0.0,0.0,0.10950181548544391,0.07727425709145408,0.0,0.0,0.10950181548544391,0.07727425709145408,0.63192620408972,0.4459435466085665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.23348790861,64.38249419652
HUN,Q2.2020,1.7694150329493317,1.7694150329493317,0.0,0.0,6.627022595315849,0.0,6.627022595315849,0.0,1.2005477809936589,0.57098503498506,1.2005477809936589,0.5709850349850599,0.0,0.0,0.0,0.0,4.49643363668037,2.1385207302811238,0.0,0.0,4.49643363668037,2.1385207302811238,0.0,0.0,309.88816247971,147.38397429587
POL,Q2.2020,26.050977899376022,-5.794253694124796,31.84523159350082,0.0,2.2029678393841223,0.0,2.2029678393841223,9.886933441628852,4.558326476058481,2.1433674290644995,-1.013862133120206,-0.4767273878045557,5.572188609178687,2.620094816869055,0.0,0.0,0.3854690855351932,0.1812511427575092,0.0,0.0,0.3854690855351932,0.1812511427575092,1.7299876668001881,0.8134562623318424,1215.42286899201,571.50311712429
AUS,Q3.2020,46.16341804345642,3.337102314023733,42.82631572943268,0.0,1.1942170290034007,0.5118072981443138,0.6824097308590868,0.0,3.0883222221251296,3.763785281797581,0.22325138975201078,0.27207986552363955,2.86507083237312,3.491705416273941,0.0,0.0,0.07989284903556304,0.09736663071187301,0.0342397924438127,0.041728556019374086,0.04565305659175045,0.05563807469249893,0.0,0.0,1226.51571721458,1494.77336635199
CAN,Q3.2020,113.24279834523114,11.814177619868016,101.42862072536313,1.891168170782322,17.661004631055775,0.25966520513249014,17.401339425923275,0.0,6.674670435538908,6.570558560398025,0.6963422242458143,0.6854806400812995,5.9783282112930936,5.885077920316726,0.11146778835039717,0.10972910768068589,1.0409614315027023,1.0247244580626296,0.01530498798300814,0.015066259941929838,1.025656443519694,1.0096581981206998,0.0,0.0,1723.48815255626,1696.60508992738
FRA,Q3.2020,70.9019736149727,7.261603004274015,63.64037061069869,3.9364390609140614,21.515670780233393,1.0569158725705172,20.458754907662865,0.0,2.7094785737205145,2.438932661949517,0.2774980264694645,0.24978939008680295,2.43198054725105,2.189143271862714,0.15042877861513881,0.13540821655505697,0.8222091150077162,0.7401101765463789,0.040389438614303996,0.036356486443428926,0.7818196763934111,0.7037536901029497,0.0,0.0,2907.09024981028,2616.81248571801
