Country,Quarter,ab_us,health_us,nhealth_us,acc_us,of_us,be_us,gu_us,qf_us,ab_per,ab_ppp,health_per,health_ppp,nhealth_per,nhealth_ppp,acc_per,acc_ppp,of_per,of_ppp,be_per,be_ppp,gu_per,gu_ppp,qf_us.1,qf_ppp,gdp_ppp_bn,gdp_real_bn
CRI,Q3.2020,0.0587275266704223,0.02538342923163589,0.03334409743878641,0.0,0.0,0.0,0.0,0.0,0.09121660694157549,0.06437058147908428,0.03942597991645983,0.027822491295151255,0.051790627025115665,0.03654809018393302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.23348790861,64.38249419652
HUN,Q3.2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.88816247971,147.38397429587
POL,Q3.2020,0.0,0.0,0.0,0.0,9.744485070209434,9.744485070209434,0.0,-9.886933441628852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7050624534196916,0.8017361955918153,1.7050624534196916,0.8017361955918153,0.0,0.0,-1.7299876668001881,-0.8134562623318424,1215.42286899201,571.50311712429
AUS,Q4.2020,61.91254577404545,4.852566239613684,57.05997953443176,0.0,0.07164344757867269,0.03070433467657452,0.040939112902098174,0.0,4.141935303887816,5.047839575561981,0.32463558348356325,0.39563832501338614,3.8172997204042534,4.652201250548595,0.0,0.0,0.004792930432893602,0.005841217244355835,0.0020541130426687203,0.002503378819009685,0.002738817390224881,0.00333783842534615,0.0,0.0,1226.51571721458,1494.77336635199
CAN,Q4.2020,40.479513138385315,24.517772021033167,15.961741117352148,0.16561122374270099,0.010131510158376766,0.010131510158376766,0.0,0.0,2.385912513095075,2.3486969189980513,1.4451077723739827,1.4225669021669025,0.9408047407210925,0.9261300168311488,0.009761330124843,0.009609072362758521,0.000597163725284499,0.0005878491327805076,0.000597163725284499,0.0005878491327805076,0.0,0.0,0.0,0.0,1723.48815255626,1696.60508992738
FRA,Q4.2020,64.53658271592836,4.2568291943873255,60.27975352154104,0.0,3.3925098406313623,0.0,3.3925098406313623,0.0,2.46622878284764,2.2199717645553005,0.16267230524235754,0.14642920682167096,2.303556477605283,2.0735425577336297,0.0,0.0,0.12964283299422252,0.11669778194374121,0.0,0.0,0.12964283299422252,0.11669778194374121,0.0,0.0,2907.09024981028,2616.81248571801
DEU,Q4.2020,102.23012702811141,19.237824397073407,82.992302631038,0.0,3.1547125500243283,0.0,3.1547125500243283,0.0,2.8418434471316667,2.456401135934334,0.5347825224247181,0.4622493884692316,2.3070609247069487,1.9941517474651025,0.0,0.0,0.0876962540152709,0.07580191589994954,0.0,0.0,0.0876962540152709,0.07580191589994954,0.0,0.0,4161.78471555813,3597.31733749424
ITA,Q4.2020,36.032590507810454,3.38295334419949,32.64963716361096,0.0,53.17897569748891,0.0,53.17897569748891,0.0,1.8784999825512343,1.5413958123157812,0.17636472172803933,0.14471538250569216,1.702135260823195,1.396680429810089,0.0,0.0,2.772398640008182,2.274880858915327,0.0,0.0,2.772398640008182,2.274880858915327,0.0,0.0,2337.65981585712,1918.15761738117
JPN,Q4.2020,227.24510700030925,42.25831853649901,184.98678846381023,0.749897294020343,0.45282259677381376,0.0,0.45282259677381376,264.23338464211304,4.978714949146438,4.267632175696562,0.9258378541157032,0.7936054696964376,4.052877095030735,3.4740267060001244,0.016429506084188042,0.014082969101837014,0.009920894058528742,0.008503946726878339,0.0,0.0,0.009920894058528742,0.008503946726878339,5.789091433240228,4.962266994775614,5324.85222823165,4564.33255009445
KOR,Q4.2020,0.7098341330979254,0.05460262562291707,0.6552315074750084,0.353311106971816,0.7590835601303567,0.0,0.7590835601303567,1.3382996476205165,0.04333152948703717,0.03291542351003578,0.003333194575925919,0.0025319556546181243,0.03999833491111125,0.03038346785541765,0.0215677296089324,0.016383242471058435,0.046337940281009335,0.03519914821812254,0.0,0.0,0.046337940281009335,0.03519914821812254,0.08169594548838038,0.062057736632797164,2156.5395714307,1638.14696019506
