Country;Year;ab_us;on_us;health_us;nhealth_us;acc_us;of_us;be_us;gu_us;qf_us;ab_per;on_per;ab_ppp;on_ppp;health_per;health_ppp;nhealth_per;nhealth_ppp;acc_per;acc_ppp;of_per;of_ppp;be_per;be_ppp;gu_per;gu_ppp;qf_per;qf_ppp;;real_gdp_per;total_netspend_usd;total_moving_usd;share_onw0_mo;share_on_mo;share_onw0_t;share_on_t;share_nhealth_mo;share_nhealth_t;share_health_mo;share_health_t;share_acc_mo;share_acc_t;share_nhealth_on;share_health_on;share_of_mo;share_of_t;share_be_mo;share_be_t;share_gu_mo;share_gu_t;share_be_of;share_gu_of;total_intensity_per;total_mo_per
LUX;2020;8.19550;2.95948;0.22765;2.73183;5.23601;4.32540;0.45531;2.84566;1.02444;11.51647;4.15873;11.81860;4.46085;0.31990;0.34314;3.83882;4.11771;7.35775;7.89228;4.63858;4.97557;0.63980;0.68628;3.99878;4.28928;1.43956;1.54414;;66.34348446884;7.28488584703825000000000000;7.28488584703825000000000000;40.625000%;40.625000%;40.625000%;40.625000%;37.500000%;37.500000%;3.125000%;3.125000%;71.875000%;71.875000%;92.307692%;7.692308%;59.375000%;59.375000%;6.250000%;6.250000%;39.062500%;39.062500%;10.526316%;65.789474%;10.980560%;10.980560%
NLD;2020;54.86430;40.52218;6.71575;33.80642;14.34212;73.98712;0.00000;73.98712;0.00000;6.11880;4.51928;5.94534;4.34582;0.74898;0.72023;3.77030;3.62559;1.59952;1.53813;8.25149;7.93478;0.00000;0.00000;8.25149;7.93478;0.00000;0.00000;;932.44043441875;114.50929940813200000000000000;114.50929940813200000000000000;35.387674%;35.387674%;35.387674%;35.387674%;29.522863%;29.522863%;5.864811%;5.864811%;12.524851%;12.524851%;83.426966%;16.573034%;64.612326%;64.612326%;0.000000%;0.000000%;64.612326%;64.612326%;0.000000%;100.000000%;12.280602%;12.280602%
NZL;2020;39.90829;39.90829;2.52666;37.38163;0.00000;5.66879;1.61965;4.04914;0.00000;19.06339;19.06339;20.57406;20.57406;1.20694;1.30258;17.85646;19.27148;0.00000;0.00000;2.70787;2.92245;0.77368;0.83499;1.93419;2.08747;0.00000;0.00000;;193.97380504055;45.57708058551300000000000000;45.57708058551300000000000000;87.562189%;87.562189%;87.562189%;87.562189%;82.018479%;82.018479%;5.543710%;5.543710%;0.000000%;0.000000%;93.668831%;6.331169%;12.437811%;12.437811%;3.553660%;3.553660%;8.884151%;8.884151%;28.571429%;71.428571%;23.496513%;23.496513%
NOR;2020;13.34897;13.34897;1.14148;12.20749;0.00000;13.74003;5.49601;8.24402;0.00000;4.23698;4.23698;4.03958;4.03958;0.31784;0.34543;3.39915;3.69415;0.00000;0.00000;4.36110;4.15792;1.74444;1.66317;2.61666;2.49475;0.00000;0.00000;;330.45426768437;27.08899357793210000000000000;27.08899357793210000000000000;49.278190%;49.278190%;49.278190%;49.278190%;45.064378%;45.064378%;4.213812%;4.213812%;0.000000%;0.000000%;91.448931%;8.551069%;50.721810%;50.721810%;20.288724%;20.288724%;30.433086%;30.433086%;40.000000%;60.000000%;8.197502%;8.197502%
PRT;2020;19.80578;10.81350;2.50418;8.30932;8.99228;14.79742;0.00000;14.79742;0.00000;8.65561;4.72577;7.09896;3.16911;1.09439;0.73390;3.63138;2.43521;3.92985;2.63536;6.46684;4.33667;0.00000;0.00000;6.46684;4.33667;0.00000;0.00000;;341.21592570296;25.61092680599380000000000000;25.61092680599380000000000000;42.222222%;42.222222%;42.222222%;42.222222%;32.444444%;32.444444%;9.777778%;9.777778%;35.111111%;35.111111%;76.842105%;23.157895%;57.777778%;57.777778%;0.000000%;0.000000%;57.777778%;57.777778%;0.000000%;100.000000%;7.505783%;7.505783%
SVK;2020;4.51184;3.96718;0.15367;3.81351;0.54466;4.56444;0.00000;4.56444;0.00000;4.32471;3.79523;2.71271;2.18323;0.14938;0.08457;3.64585;2.09866;0.52948;0.29974;4.43725;2.51191;0.00000;0.00000;4.43725;2.51191;0.00000;0.00000;;181.71174374815;8.53161475024940000000000000;8.53161475024940000000000000;46.499737%;46.499737%;46.499737%;46.499737%;44.698606%;44.698606%;1.801131%;1.801131%;6.384009%;6.384009%;96.126578%;3.873422%;53.500263%;53.500263%;0.000000%;0.000000%;53.500263%;53.500263%;0.000000%;100.000000%;4.695137%;4.695137%
SVN;2020;2.86598;2.76598;0.45531;2.31067;0.10000;3.50000;1.00000;2.50000;0.00000;5.64606;5.34606;3.93766;3.63766;0.88001;0.59879;4.46605;3.03887;0.30000;0.13151;6.60000;4.60300;1.90000;1.31514;4.70000;3.28786;0.00000;0.00000;;76.03736607555;6.26598009504734000000000000;6.26598009504734000000000000;44.142816%;44.142816%;44.142816%;44.142816%;36.876509%;36.876509%;7.266307%;7.266307%;1.595920%;1.595920%;83.539095%;16.460905%;55.857184%;55.857184%;15.959195%;15.959195%;39.897988%;39.897988%;28.571429%;71.428571%;8.240659%;8.240659%
SWE;2020;58.58453;22.32503;4.07622;18.24881;36.25950;28.32571;1.26638;27.05933;0.00000;11.02332;4.20070;11.10762;4.28500;0.76698;0.78238;3.43371;3.50262;6.82262;6.95954;5.32979;5.43675;0.23828;0.24306;5.09151;5.19368;0.00000;0.00000;;521.00449074292;50.65073381212060000000000000;50.65073381212060000000000000;44.076417%;44.076417%;44.076417%;44.076417%;36.028720%;36.028720%;8.047696%;8.047696%;71.587315%;71.587315%;81.741491%;18.258509%;55.923583%;55.923583%;2.500214%;2.500214%;53.423370%;53.423370%;4.470768%;95.529232%;9.721746%;9.721746%
CHE;2020;39.48962;39.48962;3.18945;36.30017;0.00000;44.86490;0.85052;44.01438;0.00000;5.28826;5.28826;6.68393;6.68393;0.42712;0.53984;4.86114;6.14409;0.00000;0.00000;6.00809;7.59374;0.11390;0.14396;5.89419;7.44978;0.00000;0.00000;;590.81421763174;84.35451621970540000000000000;84.35451621970540000000000000;46.813874%;46.813874%;46.813874%;46.813874%;43.032870%;43.032870%;3.781004%;3.781004%;0.000000%;0.000000%;91.923325%;8.076675%;53.186126%;53.186126%;1.008268%;1.008268%;52.177858%;52.177858%;1.895735%;98.104265%;14.277672%;14.277672%
CHL;2020;23.77556;20.73556;2.21545;18.52011;3.04000;4.50032;0.00000;0.00000;4.50032;9.45425;8.24541;5.90771;4.69886;0.88096;0.50204;7.36445;4.19682;1.20884;0.68889;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;1.78953;1.01981;;441.28867711817;25.23587758876250000000000000;25.23587758876250000000000000;82.166975%;82.166975%;82.166975%;82.166975%;73.388025%;73.388025%;8.778951%;8.778951%;12.046342%;12.046342%;89.315719%;10.684281%;17.833025%;17.833025%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;0.000000%;5.718678%;5.718678%
