date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH_SECO,crea_recession
2017-06-30,0.2681,-0.7490,-0.4273,0.1936,0.1988,1.5026,0.5082,0.4697,1.0386,0.1350,0.6074,0.3579,1.2375,-0.2207,0.2947,0.1463,0.4738,0.3807,0.4954,-0.0320,-0.4357,1.1014,-0.4465,0.4951,-1.0813,0.8887,0.2849,0
2017-09-30,0.4191,0.5775,-0.0376,0.5348,0.1460,1.0421,0.6050,0.8222,0.2115,0.2652,1.6010,0.0071,0.8994,-0.8310,-0.0155,0.1559,0.2990,0.6025,0.4615,0.3663,0.5201,0.4030,0.4930,0.8014,-0.3389,0.6551,0.5190,0
2017-12-31,0.4437,0.9572,0.8732,0.7204,0.0901,0.9227,0.7379,1.3341,-0.5243,0.7132,2.0014,0.5161,1.9392,0.1424,0.3676,0.5074,1.2455,0.9007,0.5775,0.7914,1.1783,0.7165,1.2740,1.0446,0.4913,1.2376,1.0251,0
2018-03-31,0.4843,0.9285,1.3670,0.3284,-0.2243,1.2285,0.1774,0.9229,-1.4891,0.9317,0.6661,0.4662,1.2300,0.7969,-0.1414,0.0580,1.1231,0.5624,0.2321,0.5514,0.8638,0.4417,1.5571,1.3052,0.4075,0.9605,0.7145,0
2018-06-30,0.6847,1.4518,0.7591,0.9174,-0.0782,0.6453,0.8493,1.2251,-0.3975,0.9746,1.9006,0.2916,0.9300,-0.2000,0.7783,0.5785,0.8890,1.0595,0.5773,0.8133,1.7882,0.8038,1.7339,1.2701,1.2438,0.7264,0.9175,0
2018-09-30,-0.4952,-0.6353,-0.2653,-0.1701,-0.8558,-0.0641,-0.1071,-0.2081,-0.7912,-0.0441,-0.2578,-0.1938,0.1004,-0.8015,-0.0924,-0.3495,0.3859,-0.5417,-0.2933,-0.2547,0.0351,-0.4353,0.3762,0.0961,-0.1856,-0.2433,-0.2048,0
2018-12-31,0.6471,0.1157,-0.1579,0.4285,0.4298,1.9981,0.5524,0.1691,0.9350,0.3320,1.4855,0.1762,0.7375,-0.5530,0.6079,0.3915,0.5638,0.1469,0.1787,0.2859,0.5724,-0.1475,0.3849,0.7526,0.7945,-0.3408,0.3254,0
2019-03-31,0.2430,-0.2900,-0.3839,0.3549,-0.2633,-0.2872,0.5205,0.2508,1.8398,0.6044,0.1999,0.5538,0.1898,0.4454,1.2287,0.5999,0.1343,0.2045,0.4343,0.2038,0.5774,0.3299,0.0728,0.4889,0.8540,-0.0833,0.2330,0
2019-06-30,0.9076,0.4739,0.7638,0.5969,0.5593,1.5115,0.6367,0.5996,1.1881,0.8566,0.5302,0.7757,0.3222,-0.2332,1.4857,0.9012,0.8304,0.4221,0.7819,0.8212,0.4296,0.6257,0.0995,0.4926,1.5008,0.3250,0.6571,0
2019-09-30,1.2968,0.2792,1.2979,0.5351,0.6025,1.6980,0.4293,0.2700,0.6665,0.8997,-0.9586,0.8442,-0.3011,-0.5415,0.2645,0.5743,1.3380,0.4415,0.9470,0.7707,-0.1933,1.1292,-0.0205,0.5800,0.9774,0.2637,0.4554,0
2019-12-31,1.1356,0.9167,1.9269,0.4015,0.8487,1.7483,0.2876,0.4898,-0.3750,0.8277,-1.6545,0.7372,-0.9282,-1.3742,0.3876,0.5301,1.1992,0.0472,1.1327,0.9598,-0.3921,0.7026,0.0316,-0.1332,1.6935,0.6646,0.5349,0
2020-03-31,-0.5122,-1.6701,1.0922,-1.5874,-0.5880,0.5538,-2.0187,-2.0237,-3.2047,-2.1536,-5.0867,-0.9764,-3.8595,-2.6975,-2.8576,-1.5101,-0.8963,-2.2487,-0.7825,-0.7422,-3.7431,-1.8542,-2.3351,-2.7853,-0.3475,-0.9616,-1.4715,1
2020-06-30,-4.3570,-8.4222,-3.5832,-6.4943,-4.3963,-2.4920,-7.2503,-8.1014,-7.4392,-8.8395,-15.5730,-5.5749,-12.8231,-7.0026,-8.3334,-6.7546,-6.4279,-8.1113,-5.5369,-5.4946,-9.5277,-7.3038,-6.7859,-7.9780,-6.1114,-5.5742,-6.4756,1
2020-09-30,3.6584,11.8330,6.8716,6.8651,4.1738,1.8387,7.4900,8.1363,7.3769,10.2021,16.1904,6.8696,13.5180,8.1116,10.0514,8.6646,7.8343,9.1029,7.5242,8.2417,10.0821,7.7510,7.8961,6.9888,8.8348,5.0203,6.8712,0
