country_id;country;period;esi;gdp_growth;real_gdppc;stringency;fatalities;icu;assistance_sme;assistance_sme_diff;transform;transform_diff;other;spending_pandemic;spending_pandemic_diff;transfers;transfers_diff;unemployment_transfer;unemployment_transfer_diff;universal_help;universal_help_diff;total_spending;total_spending_diff;employment;employment_growth;confidence_average;confidence_average_diff;cpi;cpi_diff;;;;;;;;;;;;;;;;;
6;Spain;2019Q4;102.5333333;0.37586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10.500;-4.733;104.88;0.6;;;;;;;;;;;;;;;;;
6;Spain;2020Q1;102;-6.18108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10.333;0.167;103.98;-0.9;;;;;;;;;;;;;;;;;
6;Spain;2020Q2;74.13333333;-17.65243;4911.41320;72.36978;4.62728;23.34220;11.27358491;11.27358491;0.009433962;0.009433962;0.283018868;0.636792453;0.636792453;0.113207547;0.113207547;1.981132075;1.981132075;0;0;14.29716981;14.29716981;0.63600;-0.06608;-27.867;-17.533;104.87;0.89;;;;;;;;;;;;;;;;;
6;Spain;2020Q3;90.96666667;16.79851;5736.45755;61.10043;0.79899;23.34220;11.29245283;0.018867925;3.833867925;3.824433962;0;0.731132075;0.094339623;0.113207547;0.113207547;2;0.018867925;0;0;17.97066038;3.673490566;0.65200;0.02516;-26.867;1.000;103.69;-1.18;;;;;;;;;;;;;;;;;
6;Spain;2020Q4;92.26666667;0.22267;5749.23113;69.59239;4.48267;48.85622;11.91415094;0.621698113;3.833867925;0;0.103773585;0.552830189;-0.178301887;0.113207547;0.113207547;2.650943396;0.650943396;0;0;19.16877358;1.198113208;0.66000;0.01227;-26.267;0.600;104.28;0.59;;;;;;;;;;;;;;;;;
6;Spain;2021Q1;97.23333333;-0.76154;5705.44861;70.77413;5.81713;67.25305;12.91509434;1.000943396;3.833867925;0;0.70754717;1.327358491;0.774528302;0.396226415;0.396226415;3.018867925;0.367924528;0;0;22.19896226;3.030188679;0.66600;0.00909;-22.100;4.167;105.22;0.94;;;;;;;;;;;;;;;;;
6;Spain;2021Q2;104.6333333;1.05810;5765.81802;62.41326;1.29515;35.00992;12.91933962;0.004245283;3.833867925;0;0.716981132;1.327358491;0;0.396226415;0.396226415;3.018867925;0;0;0;22.21264151;0.013679245;0.67200;0.00901;-11.067;11.033;107.46;2.24;;;;;;;;;;;;;;;;;
7;France;2019Q1;102.0666667;0.41012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12.067;;104.55;;;;;;;;;;;;;;;;;;
7;France;2019Q2;103.3333333;0.52367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9.967;2.100;105.35;0.8;;;;;;;;;;;;;;;;;
7;France;2019Q3;102.3333333;0.09079;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.867;3.100;105.28;-0.07;;;;;;;;;;;;;;;;;
7;France;2019Q4;102.2333333;-0.34132;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7.033;-0.167;105.78;0.5;;;;;;;;;;;;;;;;;
7;France;2020Q1;103.7666667;-5.87907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9.233;-2.200;105.34;-0.44;;;;;;;;;;;;;;;;;
7;France;2020Q2;68.5;-13.46561;6826.88338;77.81576;1.06497;43.75078;19.19439275;19.19439275;0.782477341;0.782477341;0;0.357703927;0.357703927;0.032193353;0.032193353;1.399516616;1.399516616;1.028398792;1.028398792;22.79468278;22.79468278;0.71200;-0.02332;-16.200;-6.967;105.58;0.24;;;;;;;;;;;;;;;;;
7;France;2020Q3;91.9;18.51322;8090.75912;47.94837;0.06557;7.82005;19.30617523;0.111782477;0.782477341;0;0.558912387;0.357703927;0;0.032193353;0.032193353;1.399516616;0;1.028398792;0;23.46537764;0.670694864;0.71900;0.00983;-11.933;4.267;105.3;-0.28;;;;;;;;;;;;;;;;;
7;France;2020Q4;93.13333333;-1.08629;8002.87037;65.50891;3.07652;45.37200;19.36519637;0.059021148;3.129909366;2.347432024;0.558912387;0.527613293;0.169909366;0.040241692;0.040241692;1.743806647;0.34429003;0.760120846;-0.268277946;26.1258006;2.660422961;0.72500;0.00834;-14.167;-2.233;105.75;0.45;;;;;;;;;;;;;;;;;
7;France;2021Q1;95.8;-0.10251;7994.66639;64.38391;5.74209;51.03888;19.99117825;0.625981873;3.129909366;0;0.558912387;0.527613293;0;0.040241692;0.040241692;1.743806647;0;0.760120846;0;26.75178248;0.625981873;0.72600;0.00138;-13.367;0.800;106.8;1.05;;;;;;;;;;;;;;;;;
7;France;2021Q2;106.8666667;1.30613;8099.08701;62.25359;1.88576;59.28304;21.30574018;1.314561934;3.129909366;0;0.558912387;1.131238671;0.603625378;0.040241692;0.040241692;1.797462236;0.053655589;0.760120846;0;28.72362538;1.9718429;0.73000;0.00551;-5.500;7.867;107.57;0.77;;;;;;;;;;;;;;;;;
8;Italy;2019Q1;101.5333333;1.15042;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10.667;;103.5;;;;;;;;;;;;;;;;;;
8;Italy;2019Q2;101.9333333;0.20992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12.000;-1.333;104.2;0.7;;;;;;;;;;;;;;;;;
8;Italy;2019Q3;100.8;0.06737;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12.367;-0.367;103.7;-0.5;;;;;;;;;;;;;;;;;
8;Italy;2019Q4;100.3;-0.42312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-14.167;-1.800;103.8;0.1;;;;;;;;;;;;;;;;;
8;Italy;2020Q1;94.46666667;-5.42795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-15.267;-1.100;103.6;-0.2;;;;;;;;;;;;;;;;;
8;Italy;2020Q2;64.85;-12.87913;5582.80943;72.52478;4.02607;22.13471;33.9635486;33.9635486;0;0;0.649812792;0.402265062;0.402265062;0;0;1.547173314;1.547173314;0;0;36.56279976;36.56279976;0.61400;-0.03762;-17.400;-2.133;103.8;0.2;;;;;;;;;;;;;;;;;
8;Italy;2020Q3;84.93333333;15.63171;6455.49779;53.94522;0.20293;1.69850;33.9635486;0;0;0;0.649812792;0.402265062;0;0;0;3.218120494;1.67094718;0;0;38.23374694;1.67094718;0.62200;0.01303;-15.267;2.133;102.7;-1.1;;;;;;;;;;;;;;;;;
8;Italy;2020Q4;90.4;-1.66337;6348.11927;71.44685;6.79337;38.20622;37.80053842;3.83698982;0;0;0.928303989;0.587925859;0.185660798;0;0;3.49661169;0.278491197;0;0;42.81337995;4.57963301;0.62900;0.01125;-17.667;-2.400;103.5;0.8;;;;;;;;;;;;;;;;;
8;Italy;2021Q1;97.3;0.91038;6405.91148;81.56163;6.53920;42.96296;38.66695547;0.866417056;0;0;0.928303989;0.618869326;0.030943466;0;0;4.33208528;0.83547359;0;0;44.54621407;1.732834112;0.61300;-0.02544;-13.533;4.133;104.2;0.7;;;;;;;;;;;;;;;;;
8;Italy;2021Q2;110.6666667;2.65758;6576.15396;75.43457;3.36477;31.35995;39.78092026;1.113964786;0;0;1.299625584;1.237738651;0.618869326;0;0;4.950954606;0.618869326;0;0;47.2692391;2.723025033;0.62000;0.01142;-5.933;7.600;105.2;1;;;;;;;;;;;;;;;;;
9;Netherlands;2019Q1;105.7;0.02264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7.567;;104.98;;;;;;;;;;;;;;;;;;
9;Netherlands;2019Q2;104.9;0.41684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7.600;-0.033;105.67;0.69;;;;;;;;;;;;;;;;;
9;Netherlands;2019Q3;103.5;0.36430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7.733;-0.133;106.16;0.49;;;;;;;;;;;;;;;;;
9;Netherlands;2019Q4;101.7333333;0.50463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7.300;0.433;106.24;0.08;;;;;;;;;;;;;;;;;
9;Netherlands;2020Q1;101.4666667;-2.35189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7.000;0.300;106.09;-0.15;;;;;;;;;;;;;;;;;
9;Netherlands;2020Q2;67.66666667;-8.37591;9482.25066;70.81207;3.22413;31.73127;9.355811615;9.355811615;0;0;0.193333849;0.476890161;0.476890161;0;0;2.023560952;2.023560952;0.027324517;0.027324517;12.07692109;12.07692109;0.79500;-0.01365;-18.900;-11.900;107.45;1.36;;;;;;;;;;;;;;;;;
9;Netherlands;2020Q3;90.36666667;7.50494;10193.88761;45.09783;0.20566;2.32670;9.355811615;0;0;0;0.193333849;0.476890161;0;0;0;2.023560952;0;0.027324517;0;12.07692109;0;0.79700;0.00252;-14.567;4.333;107.19;-0.26;;;;;;;;;;;;;;;;;
9;Netherlands;2020Q4;95.26666667;0.00029;10193.91670;64.19087;3.14820;27.97288;11.6758178;2.320006187;0;0;0.193333849;0.760446472;0.283556312;0;0;2.023560952;0;0.027324517;0;14.68048359;2.603562498;0.80200;0.00627;-12.233;2.333;107.22;0.03;;;;;;;;;;;;;;;;;
9;Netherlands;2021Q1;98.9;-1.16118;10075.54700;78.17891;3.40779;35.60041;11.6758178;0;0;0;0.193333849;0.760446472;0;0;0;2.023560952;0;0.027324517;0;14.68048359;0;0.81200;0.01247;-6.367;5.867;108.09;0.87;;;;;;;;;;;;;;;;;
9;Netherlands;2021Q2;107.9333333;3.75698;10454.08336;67.67185;0.86783;33.50603;15.67138401;3.99556621;0;0;0.193333849;2.139561261;1.379114789;0;0;2.668007115;0.644446163;0.027324517;0;20.69961075;6.019127162;0.82000;0.00985;3.133;9.500;109.27;1.18;;;;;;;;;;;;;;;;;
10;Romania;2019Q1;103.3;2.29864;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-14.267;;107.58;;;;;;;;;;;;;;;;;;
10;Romania;2019Q2;103.8333333;0.90469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10.033;4.233;108.43;0.85;;;;;;;;;;;;;;;;;
10;Romania;2019Q3;104.1333333;0.26703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8.667;1.367;108.3;-0.13;;;;;;;;;;;;;;;;;
10;Romania;2019Q4;104.9333333;0.81296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.300;2.367;109.31;1.01;;;;;;;;;;;;;;;;;
10;Romania;2020Q1;103.0333333;0.94388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8.400;-2.100;110.47;1.16;;;;;;;;;;;;;;;;;
10;Romania;2020Q2;68.7;-11.09720;2051.050209;64.73586957;0.90073;10.61908333;2.920906436;2.920906436;0;0;0.286363376;0.71590844;0.71590844;0;0;0.696817548;0.696817548;0;0;4.6199958;4.6199958;0.696;-0.030640669;-26.100;-17.700;110.78;0.31;;;;;;;;;;;;;;;;;
10;Romania;2020Q3;89.3;4.99675;2153.53613;52.82152174;1.80362;21.70793258;3.111815353;0.190908917;0;0;0.286363376;1.231362517;0.515454077;0;0;1.046180867;0.349363319;0;0;5.675722113;1.055726313;0.704;0.011494253;;;110.53;-0.25;;;;;;;;;;;;;;;;;
10;Romania;2020Q4;90.6;4.18170;2243.590582;46.55782609;6.13951;53.33996703;3.111815353;0;0;0;0.286363376;1.326816976;0.095454459;0;0;1.046180867;0;0;0;5.771176572;0.095454459;0.713;0.012784091;;;111.32;0.79;;;;;;;;;;;;;;;;;
10;Romania;2021Q1;94.36666667;3.33174;2318.341175;65.56836957;4.58525;57.01664773;4.429086883;1.31727153;0;0;0.286363376;1.135908058;-0.190908917;0.019090892;0.019090892;1.046180867;0;0.219545255;0.219545255;7.136175331;1.364998759;0.671;-0.058906031;;;113.23;1.91;;;;;;;;;;;;;;;;;
10;Romania;2021Q2;99.33333333;1.94076;2363.334581;58.54554348;5.89686;43.60731111;4.973177297;0.544090414;0;0;0.286363376;1.336362421;0.200454363;0.019090892;0.019090892;1.103453542;0.057272675;0.219545255;0;7.937992784;0.801817453;0.668;-0.004470939;;;114.62;1.39;;;;;;;;;;;;;;;;;
11;Finland;2019Q1;102.5333333;0.64256;0;0;0;0;0;;0;0;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;-2.733;;103.15;;;;;;;;;;;;;;;;;;
11;Finland;2019Q2;100.4666667;0.82138;0;0;0;0;0;0;0;0;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;-3.733;-1.000;103.71;0.56;;;;;;;;;;;;;;;;;
11;Finland;2019Q3;98.43333333;-0.03754;0;0;0;0;0;0;0;0;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;-4.700;-0.967;103.83;0.12;;;;;;;;;;;;;;;;;
11;Finland;2019Q4;96.2;-0.33551;0;0;0;0;0;0;0;0;0.00000;0;0;0;0;0;0;0;0;0;0;0;0;-5.100;-0.400;104.1;0.27;;;;;;;;;;;;;;;;;
